"Id",Channel,XY,Z,Time,"Tags","Shape","Name",cy7 children,a594 children,cy5 children,cy3 children
"6792831d3204237ba058830b",0,70,1,1,"DAPI_DMout blob","polygon","",19,4,60,0
"6792831d3204237ba058830c",0,70,1,1,"DAPI_DMout blob","polygon","",8,1,16,1
"6792831d3204237ba058830d",0,70,1,1,"DAPI_DMout blob","polygon","",8,56,70,1
"6792831d3204237ba0588314",0,71,1,1,"DAPI_DMout blob","polygon","",4,62,68,0
"6792831d3204237ba0588315",0,71,1,1,"DAPI_DMout blob","polygon","",13,25,66,0
"6792831e3204237ba0588320",0,73,1,1,"DAPI_DMout blob","polygon","",12,30,60,1
"6792831e3204237ba0588321",0,73,1,1,"DAPI_DMout blob","polygon","",6,25,24,0
"6792831e3204237ba0588322",0,73,1,1,"DAPI_DMout blob","polygon","",7,38,74,0
"6792831e3204237ba0588323",0,73,1,1,"DAPI_DMout blob","polygon","",8,27,48,0
"6792831f3204237ba058832a",0,74,1,1,"DAPI_DMout blob","polygon","",10,2,58,0
"679283203204237ba0588336",0,76,1,1,"DAPI_DMout blob","polygon","",5,10,70,1
"679283203204237ba0588337",0,76,1,1,"DAPI_DMout blob","polygon","",4,17,28,0
"679283203204237ba0588338",0,76,1,1,"DAPI_DMout blob","polygon","",6,46,54,0
"679283203204237ba0588339",0,76,1,1,"DAPI_DMout blob","polygon","",7,22,58,1
"679283203204237ba058833a",0,76,1,1,"DAPI_DMout blob","polygon","",9,2,22,0
"679283203204237ba058833b",0,76,1,1,"DAPI_DMout blob","polygon","",5,33,32,0
"679283203204237ba058833c",0,76,1,1,"DAPI_DMout blob","polygon","",9,14,58,0
"679283203204237ba0588346",0,77,1,1,"DAPI_DMout blob","polygon","",9,8,12,0
"679283203204237ba0588347",0,77,1,1,"DAPI_DMout blob","polygon","",13,9,44,1
"679283203204237ba0588348",0,77,1,1,"DAPI_DMout blob","polygon","",2,21,50,2
"679283203204237ba0588349",0,77,1,1,"DAPI_DMout blob","polygon","",11,69,48,0
"679283203204237ba058834a",0,77,1,1,"DAPI_DMout blob","polygon","",13,8,90,0
"679283203204237ba058834b",0,77,1,1,"DAPI_DMout blob","polygon","",3,10,82,0
"679283213204237ba0588354",0,78,1,1,"DAPI_DMout blob","polygon","",10,75,80,1
"679283213204237ba0588355",0,78,1,1,"DAPI_DMout blob","polygon","",3,18,24,0
"679283213204237ba0588356",0,78,1,1,"DAPI_DMout blob","polygon","",7,43,70,0
"679283213204237ba0588357",0,78,1,1,"DAPI_DMout blob","polygon","",13,5,26,0
"679283223204237ba058835e",0,79,1,1,"DAPI_DMout blob","polygon","",4,2,50,2
"679283223204237ba058835f",0,79,1,1,"DAPI_DMout blob","polygon","",3,2,76,0
"679283223204237ba0588360",0,79,1,1,"DAPI_DMout blob","polygon","",9,24,90,1
"679283223204237ba0588361",0,79,1,1,"DAPI_DMout blob","polygon","",6,38,58,1
"679283223204237ba0588362",0,79,1,1,"DAPI_DMout blob","polygon","",3,25,48,0
"679283223204237ba0588363",0,79,1,1,"DAPI_DMout blob","polygon","",8,23,48,0
"679283233204237ba058836d",0,81,1,1,"DAPI_DMout blob","polygon","",6,51,44,0
"679283233204237ba058836f",0,81,1,1,"DAPI_DMout blob","polygon","",1,0,10,0
"679283233204237ba0588370",0,81,1,1,"DAPI_DMout blob","polygon","",0,38,42,1
"679283233204237ba0588371",0,81,1,1,"DAPI_DMout blob","polygon","",6,15,18,1
"679283233204237ba0588372",0,81,1,1,"DAPI_DMout blob","polygon","",2,4,4,0
"679283233204237ba0588373",0,81,1,1,"DAPI_DMout blob","polygon","",1,2,2,0
"679283233204237ba0588374",0,81,1,1,"DAPI_DMout blob","polygon","",5,15,38,0
"679283243204237ba058837f",0,83,1,1,"DAPI_DMout blob","polygon","",3,20,18,0
"679283243204237ba0588380",0,83,1,1,"DAPI_DMout blob","polygon","",5,7,36,0
"679283243204237ba0588382",0,83,1,1,"DAPI_DMout blob","polygon","",22,56,60,1
"679283243204237ba058838a",0,84,1,1,"DAPI_DMout blob","polygon","",10,2,34,0
"679283243204237ba058838b",0,84,1,1,"DAPI_DMout blob","polygon","",9,6,38,0
"679283253204237ba0588391",0,85,1,1,"DAPI_DMout blob","polygon","",3,15,78,0
"679283253204237ba0588392",0,85,1,1,"DAPI_DMout blob","polygon","",5,31,46,1
"679283253204237ba0588393",0,85,1,1,"DAPI_DMout blob","polygon","",3,3,36,1
"679283273204237ba05883a5",0,89,1,1,"DAPI_DMout blob","polygon","",8,0,24,0
"679283273204237ba05883a6",0,89,1,1,"DAPI_DMout blob","polygon","",7,1,20,0
