"Id",Channel,XY,Z,Time,"Tags","Shape","Name",line Blob Parent and child / parentId,line Blob Parent and child / childId,line Blob Parent and child / annotationId,red / TotalIntensity,red / MinIntensity,red / MedianIntensity,red / MeanIntensity,red / MaxIntensity,red / 75thPercentileIntensity,red / 25thPercentileIntensity,green / TotalIntensity,green / MinIntensity,green / MedianIntensity,green / MeanIntensity,green / MaxIntensity,green / 75thPercentileIntensity,green / 25thPercentileIntensity,green red Colony two color intensity / Channel 2 / MedianIntensity,green red Colony two color intensity / Channel 2 / MeanColonyIntensity,green red Colony two color intensity / Channel 2 / 75thPercentileIntensity,green red Colony two color intensity / Channel 2 / 40thPercentileIntensity,green red Colony two color intensity / Channel 2 / 25thPercentileIntensity,green red Colony two color intensity / Channel 1 / MedianIntensity,green red Colony two color intensity / Channel 1 / MeanColonyIntensity,green red Colony two color intensity / Channel 1 / 75thPercentileIntensity,green red Colony two color intensity / Channel 1 / 40thPercentileIntensity,green red Colony two color intensity / Channel 1 / 25thPercentileIntensity,red Annulus intensity measurements / TotalIntensity,red Annulus intensity measurements / MinIntensity,red Annulus intensity measurements / MedianIntensity,red Annulus intensity measurements / MeanIntensity,red Annulus intensity measurements / MaxIntensity,red Annulus intensity measurements / 75thPercentileIntensity,red Annulus intensity measurements / 25thPercentileIntensity,green Annulus intensity measurements / TotalIntensity,green Annulus intensity measurements / MinIntensity,green Annulus intensity measurements / MedianIntensity,green Annulus intensity measurements / MeanIntensity,green Annulus intensity measurements / MaxIntensity,green Annulus intensity measurements / 75thPercentileIntensity,green Annulus intensity measurements / 25thPercentileIntensity
"660cb51c6cebf97155c8ea15",0,1,1,17,"green blob, start, line","polygon","",-,-,-,5688458,26,41,43.505039998776326,198,48,35,58309094,331,427,445.94501124248586,3253,477,393,41,50.668765902413654,48,38,35,427,495.1186724208218,477,412,393,705848,26,35,36.530793913673534,115,38,32,7745879,327,399,400.8839147086223,894,422,362
"660cb5296cebf97155c8ea18",0,1,1,17,"green blob, start, line","polygon","",-,-,-,2003038,25,32,35.15828828196307,152,38,30,22664977,330,376,397.826599031103,1159,417,361,32,39.87406901486324,38,31,30,376,430.7694734445637,417,370,361,435072,25,30,31.234977385311222,85,32,29,5125995,329,366,368.00883049752315,633,377,352
"660cb5336cebf97155c8ea24",0,1,1,16,"green blob, start, line","polygon","",-,-,-,1506082,39,51,56.23485923381376,119,63,47,15892687,498,577,593.4092674184153,830,629,550,51,64.09345858475041,63,49,47,577,632.2223669775096,629,568,550,393982,35,48,48.56181437199556,106,51,44,4508667,474,557,555.7336373721188,868,586,516
"660cb5416cebf97155c8ea27",0,1,1,16,"green blob, start, line","polygon","",-,-,-,4882129,26,38,40.60894338021843,139,45,34,55472772,361,447,461.41563594320553,976,487,420,38,46.16876299139723,45,36,34,447,499.02922210927187,487,437,420,670270,25,33,33.67514067524116,112,35,31,8320277,357,418,418.0203476688103,948,446,388
"660cb5496cebf97155c8ea2a",0,1,1,16,"green blob, start, line","polygon","",-,-,-,1464348,24,31,32.84248772063606,128,35,29,18517237,356,401,415.30573934106354,1051,434,385,31,36.936668417366946,35,30,29,401,445.8978028711485,434,394,385,297189,22,29,30.003937405350833,49,31,28,3925066,353,394,396.2711761736497,572,406,379
"660cb5576cebf97155c8ea2d",0,1,1,15,"green blob, start, line","polygon","",-,-,-,1168587,39,56,58.53471248246844,113,66,49,10487743,423,517,525.3327489481065,788,566,481,56,66.61427150221579,66,53,49,517,566.112417473094,566,504,481,437683,35,48,47.82898043929625,90,51.5,43,4309431,403,475,470.924598404546,596,502,432
"660cb55f6cebf97155c8ea30",0,1,1,15,"green blob, start, line","polygon","",-,-,-,2741585,28,40,42.316246835833795,141,46,36,25640878,310,381,395.7658517009323,1127,418,358,40,47.65983162457281,46,38,36,381,429.6528854435831,418,371,358,516481,26,36,37.248016731573635,88,39,34,5047538,304,360,364.0226453194865,599,376,342
"660cb5656cebf97155c8ea33",0,1,1,15,"green blob, start, line","polygon","",-,-,-,1262103,25,31,33.29911350324521,176,35,30,13158695,303,334,347.17679805815,1037,357,324,31,36.20228918476992,35,31,30,334,366.14505956552205,357,330,324,317992,25,30,31.307669587476617,80,32,29,3404689,301,332,335.2061632371763,758,340,321
"660cb5786cebf97155c8ea36",0,1,1,14,"green blob, start, line","polygon","",-,-,-,794717,41,59,60.08747920762135,107,66,52,7363139,453,551,556.7169968244367,809,589,518,59,66.69298009682625,66,56,52,551,589.7887305002689,589,538,518,329089,37,49,49.50940273807733,98,52,45,3323311,436,500,499.97156612005415,684,523,470
"660cb5846cebf97155c8ea39",0,1,1,14,"green blob, start, line","polygon","",-,-,-,1988468,28,38,40.262984186121855,170,44,34,19736168,330,387,399.62273472776235,889,420,363,38,45.231184585228746,44,36,34,387,430.836865268686,420,378,363,406780,28,35,36.41066953097028,80,38,33,4182439,328,371,374.36797350519157,600,387,356
"660cb58b6cebf97155c8ea3c",0,1,1,14,"green blob, start, line","polygon","",-,-,-,497000,26,32,33.74066530889341,145,37,29,5287496,318,346,358.96103190767144,726,376,332,32,37.924411726041804,37,30,29,346,384.49783094518205,376,338,332,165525,25,29,29.894347119378725,47,31,29,1861096,316,335,336.1199205345855,426,341,326
"660d5bd26cebf97155c8ea3f",0,1,1,13,"green blob, start, line","polygon","",-,-,-,1220125,29,38,40.704753961634694,129,44,35,12837683,365,415,428.27966638865723,907,448,393,38,45.7837870465383,44,37,35,415,457.6978330415887,448,406,393,384953,28,34,35.68344456803856,106,37,33,4279637,362,394,396.7034668149796,748,407,378
"660d5bda6cebf97155c8ea42",0,1,1,13,"green blob, start, line","polygon","",-,-,-,733195,38,57,58.015113150815004,123,65,49,7232150,464,569,572.2543123912011,894,611,526,57,65.34388245267024,65,54,49,569,611.0565131393049,611,553,526,326905,37,46,47.35694625525134,116,50,43,3555336,461,507,515.0421555845285,643,539,491
"660d5bf66cebf97155c8ea45",0,1,1,13,"green blob, start, line","polygon","",-,-,-,297238,26,31,33.67754362111942,139,36,29,3394047,345,368,384.55098572399726,1148,395,360,31,37.606985062066066,36,30,29,368,406.7906585314538,395,364,360,144780,26,29,30.112312811980033,53,30,29,1754190,344,361,364.8481697171381,556,369,355
"660d5c056cebf97155c8ea48",0,1,1,12,"green blob, start, line","polygon","",-,-,-,93146,25,31,32.68280701754386,114,35,29,1211118,393,416,424.9536842105263,515,437,407,31,35.97137150466045,35,30,29,416,441.12649800266314,437,411,407,88117,25,29,30.907400911960714,57,31,28,1184867,391,409,415.5969835145563,607,417,402
"660d5c0e6cebf97155c8ea4b",0,1,1,12,"green blob, start, line","polygon","",-,-,-,1116349,28,37,38.56793919502505,135,42,34,13096305,396,443,452.4548281223009,737,473,424,37,43.09642127463257,42,35,34,443,479.1509259869505,473,434,424,315889,28,33,36.035706137348846,313,35,32,3798006,394,424,433.26557152635183,705,442,415
"660d5c156cebf97155c8ea4e",0,1,1,12,"green blob, start, line","polygon","",-,-,-,633085,39,56,56.4045794725588,112,63,48,6781649,516,603,604.2096400570207,796,643,559,56,63.82912844036697,63,53,48,603,642.8764744429882,643,586,559,263403,36,45,47.30657327586207,87,51,42,3111131,505,548,558.7519755747127,704,584,526
"660d5c346cebf97155c8ea51",0,1,1,11,"green blob, start, line","polygon","",-,-,-,615204,40,55,56.52370452039691,160,63,48,5533799,424,503,508.4343072399853,811,542,468,55,64.4380968918215,63,52,48,503,545.3245355096371,542,486,468,264774,38,49,51.422412118858034,162,54,44,2481925,416,479,482.02078073412315,812,501,447
"660d5c456cebf97155c8ea54",0,1,1,11,"green blob, start, line","polygon","",-,-,-,579319,29,37,38.755619480867004,79,42,34,5599165,326,365,374.5761974846133,694,394,348,37,42.680776455854726,42,36,34,365,398.42629931120854,394,357,348,217604,29,34,34.8110702287634,74,36,33,2176037,323,345,348.1102223644217,502,355,336
"660d5c4c6cebf97155c8ea57",0,1,1,11,"green blob, start, line","polygon","",-,-,-,99288,26,30,31.640535372848948,57,33,29,1029528,306,320,328.08413001912044,514,335,314,30,34.30165542611895,33,30,29,320,341.0134886572655,335,317,314,79439,24,29,30.06775170325511,69,30,28,843125,305,315,319.1237698713096,461,319,312
"660d5c616cebf97155c8ea5a",0,1,1,10,"green blob, start, line","polygon","",-,-,-,697637,39,51,53.70983139579644,117,60,46,6699182,446,505,515.7581030102394,749,546,480,51,60.32683891006636,60,48,46,505,546.3415219539743,546,494,480,267113,37,47,49.86242299794661,153,51,43,2656992,435,489,495.9850662684338,821,519,460
"660d5c6b6cebf97155c8ea5d",0,1,1,10,"green blob, start, line","polygon","",-,-,-,354894,30,37,38.5168222270458,80,41,34,3627344,345,383,393.6774473627089,736,409,367,37,42.145654834761324,41,36,34,383,417.63035495716036,409,376,367,142997,30,34,34.92843185148998,65,35,33,1501636,341,362,366.7894479726429,465,372,355
"660d60926cebf97155c8ea65",0,1,1,10,"green blob, start, line","polygon","",-,-,-,137248,25,29,32.469363614856874,138,32,28,1475090,323,334,348.9685356044476,812,343,331,29,35.7209595959596,32,29,28,334,363.34722222222223,343,333,331,88031,24,29,31.084392655367232,160,31,28,966203,321,335,341.1733757062147,465,339,331
"660dd62b6cebf97155c8f306",0,1,1,9,"green blob, start, line","polygon","",-,-,-,213171,30,36,37.95779914529915,87,40,34,2369422,370,405,421.9056267806268,925,437,388,36,41.59926837379448,40,35,34,405,451.3545061523113,437,395,388,123719,29,34,36.238722905682486,132,35,33,1364872,368,387,399.7867603983597,1083,393,379
"660dd6306cebf97155c8f309",0,1,1,9,"green blob, start, line","polygon","",-,-,-,623433,39,50,53.52275068681319,158,58,46,6341774,484,538,544.4517513736264,890,565,514,50,59.47849788007268,58,49,46,538,568.9024833434282,565,528,514,248003,38,47,48.4380859375,95,50,44,2688599,475,525,525.1169921875,693,547,499
"660dd6356cebf97155c8f30c",0,1,1,9,"green blob, start, line","polygon","",-,-,-,64644,26,32,33.72143974960876,81,37,29,733077,350,374,382.40845070422534,636,398,361,32,37.88076152304609,37,30,29,374,401.8947895791583,398,366,361,62406,26,29,30.220823244552058,85,30,28,752814,349,360,364.5588377723971,639,363,357
"660dd6426cebf97155c8f30f",0,1,1,8,"green blob, start, line","polygon","",-,-,-,261327,40,54,55.566021688284074,129,60,48,2783316,533,590,591.8171379970232,790,611,564,54,62.33965244865719,60,51,48,590,616.1990521327015,611,582,564,149829,40,48,50.566655416807286,115,52,45,1686195,528,566,569.0836989537631,751,584,548
"660dd6506cebf97155c8f312",0,1,1,8,"green blob, start, line","polygon","",-,-,-,98632,30,34,36.63893016344725,70,38,33,1188874,403,418,441.63224368499255,605,456.25,412,34,39.86527777777778,38,34,33,418,467.20416666666665,456.25,415,412,86876,29,34,36.672013507809204,88,36,33,1018038,401,419,429.7332207682567,764,428,412
"660dd65c6cebf97155c8f315",0,1,1,8,"green blob, start, line","polygon","",-,-,-,65229,25,33,35.80076838638858,164,39,29,773487,387,409,424.52634467618003,872,433,396,33,41.621308016877634,39,31,29,409,449.96729957805906,433,402,396,62177,25,29,30.735046959960453,90,30,29,815676,383,396,403.2011863568957,724,400,393
"660dd66b6cebf97155c8f318",0,1,1,7,"green blob, start, line","polygon","",-,-,-,112149,42,62,65.8924794359577,152,68,58,883657,451,514,519.1874265569918,709,532,497,62,73.02006018054162,68,60,58,514,537.4784353059177,532,508,497,116527,41,48,49.564866014461934,88,52,46,1116642,442,474,474.96469587409615,658,485,459
